Target Distance: 100, Step Size: 20
(x, y) = (-120.701, -23.0982)
(x, y) = (-141.541, -1.51796)
(x, y) = (-132.769, 27.1712)
(x, y) = (-104.238, 17.9007)
(x, y) = (-125.077, -3.67952)
(x, y) = (-152.267, -16.3581)
(x, y) = (-151.22, -46.3398)
(x, y) = (-147.044, -76.0478)
(x, y) = (-122.47, -93.2551)
(x, y) = (-99.4886, -73.9715)
(x, y) = (-75.2181, -91.6051)
(x, y) = (-47.4025, -102.843)
(x, y) = (-55.6717, -74.0054)
(x, y) = (-35.2117, -52.0648)
(x, y) = (-18.0044, -27.4902)
(x, y) = (-21.1403, 2.34543)
(x, y) = (-48.1041, -10.8057)
(x, y) = (-72.9752, -27.5815)
(x, y) = (-87.9752, -53.5623)
(x, y) = (-80.2107, -24.5845)
(x, y) = (-103.525, -43.4641)
(x, y) = (-94.7539, -72.1532)
(x, y) = (-66.7465, -61.4022)
(x, y) = (-58.9819, -32.4244)
(x, y) = (-30.0041, -24.6599)
(x, y) = (-21.233, -53.349)
(x, y) = (-46.6744, -69.2466)
(x, y) = (-18.3089, -59.4795)
(x, y) = (-37.1885, -82.7939)
(x, y) = (-8.35062, -91.063)
(x, y) = (18.1378, -76.9789)
(x, y) = (19.7079, -47.02)
(x, y) = (-5.73355, -62.9176)
(x, y) = (14.3404, -40.6232)
(x, y) = (37.6547, -21.7436)
(x, y) = (44.9124, -50.8525)
(x, y) = (70.8932, -35.8525)
(x, y) = (59.655, -8.03697)
(x, y) = (50.8838, 20.6522)
(x, y) = (42.1127, -8.03697)
(x, y) = (64.407, -28.1109)
(x, y) = (37.6768, -41.7306)
(x, y) = (62.5479, -24.9548)
(x, y) = (84.8423, -4.8809)
(x, y) = (56.6515, -15.1415)
(x, y) = (32.381, 2.49205)
(x, y) = (32.381, -27.5079)
(x, y) = (27.1715, -57.0522)
(x, y) = (-2.27727, -51.3279)
(x, y) = (-26.8518, -34.1206)
(x, y) = (2.12595, -41.8852)
(x, y) = (25.4403, -23.0056)
(x, y) = (39.9846, 3.23302)
(x, y) = (30.2176, 31.5986)
(x, y) = (60.1445, 29.5059)
(x, y) = (82.7858, 9.82411)
(x, y) = (107.056, 27.4577)
(x, y) = (113.805, 56.6888)
(x, y) = (84.2606, 51.4793)
(x, y) = (66.627, 75.7498)
(x, y) = (43.9857, 56.0681)
(x, y) = (73.53, 61.2775)
(x, y) = (51.9498, 82.1173)
(x, y) = (78.4382, 96.2014)
(x, y) = (96.9081, 72.5611)
(x, y) = (86.157, 100.568)
(x, y) = (111.028, 83.7927)
(x, y) = (92.5583, 60.1524)
(x, y) = (63.3272, 53.4039)
(x, y) = (92.6716, 47.1665)
(x, y) = (64.4808, 57.4271)
(x, y) = (72.75, 28.5893)
(x, y) = (50.8094, 49.0492)
(x, y) = (21.033, 52.7053)
(x, y) = (50.5772, 57.9147)
(x, y) = (80.4129, 54.7789)
(x, y) = (77.277, 84.6145)
(x, y) = (104.007, 70.9948)
(x, y) = (117.627, 44.2646)
(x, y) = (144.115, 30.1805)
(x, y) = (119.244, 13.4047)
(x, y) = (125.993, 42.6358)
(x, y) = (115.242, 70.6432)
(x, y) = (139.816, 53.4359)
(x, y) = (167.632, 42.1977)
(x, y) = (140.668, 55.3488)
(x, y) = (125.217, 81.0639)
(x, y) = (106.747, 57.4235)
(x, y) = (110.403, 27.6472)
(x, y) = (136.384, 42.6472)
(x, y) = (166.16, 46.3032)
(x, y) = (169.296, 76.1389)
(x, y) = (188.978, 98.7802)
After 164 steps, the subject has the following location: 
(x, y) = (188.978, 98.7802)
or
(m, a) = (213.237, 27.5964)
Average outward distance per step = 1.30023
